"","n_obs","num_multistart","method","theta.omega","theta.mu","theta.tau","theta.t","theta.gamma","theta.sigma","rmse.omega","rmse.mu","rmse.tau","rmse.gamma","rmse.t","rmse.sigma"
"1",99,1,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,1.7,1.4,11,1,260,0.25
"2",199,1,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.19,0.0076,0.091,0.2,0.21,0.071
"3",299,1,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,1.4,1.3,11,0.84,320,0.19
"4",399,1,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,1.6,1.1,10,0.94,260,0.21
"5",499,1,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.94,0.21,4.5,0.57,85,0.13
"6",599,1,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,1.4,1.3,11,0.84,320,0.18
"7",99,10,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.27,0.016,0.086,0.33,0.26,0.11
"8",199,10,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.11,0.013,0.046,0.12,0.11,0.066
"9",299,10,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.16,0.0073,0.04,0.18,0.15,0.069
"10",399,10,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.15,0.0071,0.034,0.16,0.15,0.069
"11",499,10,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.093,0.0093,0.045,0.099,0.089,0.048
"12",599,10,"BFGS",0.367879441171442,10,1,1,1,1.4142135623731,0.12,0.0066,0.037,0.12,0.12,0.041
"13",99,1,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.3,0.37,4.2,0.81,53,0.19
"14",199,1,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.7,0.47,5.7,0.98,78,0.21
"15",299,1,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.4,0.4,4.7,0.84,57,0.17
"16",399,1,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.7,0.55,6,0.99,84,0.21
"17",499,1,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.6,0.51,5.6,0.93,76,0.21
"18",599,1,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.6,0.48,5.4,0.93,70,0.2
"19",99,10,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.2,0.31,3.5,0.72,45,0.19
"20",199,10,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,0.93,0.23,2.8,0.57,36,0.14
"21",299,10,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.2,0.35,3.9,0.72,50,0.17
"22",399,10,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,0.92,0.28,3,0.55,38,0.13
"23",499,10,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.3,0.38,4.3,0.76,53,0.17
"24",599,10,"Nelder-Mead",0.367879441171442,10,1,1,1,1.4142135623731,1.2,0.33,3.9,0.7,48,0.15
