"","beta0","beta1","gamma","n_dataset","n_obs","num_multistart"
"1",15,1,10,100,299,10
"2",15,1,10,100,499,10
"3",15,1,0.1,100,299,10
"4",15,1,0.1,100,499,10
"5",15,1,0.1,100,999,10
"6",13.2426406871193,0.9,1,100,299,10
"7",13.2426406871193,0.7,1,100,299,10
"8",13.2426406871193,0.5,1,100,299,10
"9",13.2426406871193,0.3,1,100,299,10
"10",13.2426406871193,0.1,1,100,299,10
"11",15.2426406871193,1,0.1,100,499,10
"12",13.2426406871193,1,0.1,100,499,10
"13",11.2426406871193,1,0.1,100,499,10
"14",9.24264068711929,1,0.1,100,499,10
"15",7.24264068711929,1,0.1,100,499,10
"16",13.2426406871193,0.9,0.1,100,499,10
"17",13.2426406871193,0.7,0.1,100,499,10
"18",13.2426406871193,0.5,0.1,100,499,10
"19",13.2426406871193,0.3,0.1,100,499,10
"20",13.2426406871193,0.1,0.1,100,499,10
"21",15.2426406871193,1,10,100,299,10
"22",13.2426406871193,1,10,100,299,10
"23",11.2426406871193,1,10,100,299,10
"24",9.24264068711929,1,10,100,299,10
"25",7.24264068711929,1,10,100,299,10
"26",13.2426406871193,0.9,10,100,299,10
"27",13.2426406871193,0.7,10,100,299,10
"28",13.2426406871193,0.5,10,100,299,10
"29",13.2426406871193,0.3,10,100,299,10
"30",13.2426406871193,0.1,10,100,299,10
